lambda	Re(eps)	Im(eps)
3.0000000000000000e+02	+3.7515700582237348e+00	+4.2335861203945026e-03
3.0100000000000000e+02	+3.7499115831302761e+00	+4.2760549678679096e-03
3.0200000000000000e+02	+3.7482475954476686e+00	+4.3188068015819802e-03
3.0300000000000000e+02	+3.7465780952402881e+00	+4.3618425598493174e-03
3.0400000000000000e+02	+3.7449030825727210e+00	+4.4051631809642385e-03
3.0500000000000000e+02	+3.7432225575097680e+00	+4.4487696032026831e-03
3.0600000000000000e+02	+3.7415365201164432e+00	+4.4926627648221732e-03
3.0700000000000000e+02	+3.7398449704579728e+00	+4.5368436040617464e-03
3.0800000000000000e+02	+3.7381479085997955e+00	+4.5813130591418911e-03
3.0900000000000000e+02	+3.7364453346075632e+00	+4.6260720682645001e-03
3.1000000000000000e+02	+3.7347372485471411e+00	+4.6711215696127930e-03
3.1100000000000000e+02	+3.7330236504846068e+00	+4.7164625013512628e-03
3.1200000000000000e+02	+3.7313045404862506e+00	+4.7620958016256192e-03
3.1300000000000000e+02	+3.7295799186185761e+00	+4.8080224085627257e-03
3.1400000000000000e+02	+3.7278497849482992e+00	+4.8542432602705398e-03
3.1500000000000000e+02	+3.7261141395423492e+00	+4.9007592948380457e-03
3.1600000000000000e+02	+3.7243729824678677e+00	+4.9475714503352131e-03
3.1700000000000000e+02	+3.7226263137922091e+00	+4.9946806648129109e-03
3.1800000000000000e+02	+3.7208741335829409e+00	+5.0420878763028634e-03
3.1900000000000000e+02	+3.7191164419078433e+00	+5.0897940228175923e-03
3.2000000000000000e+02	+3.7173532388349093e+00	+5.1378000423503390e-03
3.2100000000000000e+02	+3.7155845244323444e+00	+5.1861068728750286e-03
3.2200000000000000e+02	+3.7138102987685677e+00	+5.2347154523461892e-03
3.2300000000000000e+02	+3.7120305619122096e+00	+5.2836267186989047e-03
3.2400000000000000e+02	+3.7102453139321145e+00	+5.3328416098487414e-03
3.2500000000000000e+02	+3.7084545548973398e+00	+5.3823610636916938e-03
3.2600000000000000e+02	+3.7066582848771543e+00	+5.4321860181041444e-03
3.2700000000000000e+02	+3.7048565039410404e+00	+5.4823174109427620e-03
3.2800000000000000e+02	+3.7030492121586924e+00	+5.5327561800444774e-03
3.2900000000000000e+02	+3.7012364096000194e+00	+5.5835032632264034e-03
3.3000000000000000e+02	+3.6994180963351408e+00	+5.6345595982857906e-03
3.3100000000000000e+02	+3.6975942724343902e+00	+5.6859261229999453e-03
3.3200000000000000e+02	+3.6957649379683133e+00	+5.7376037751261837e-03
3.3300000000000000e+02	+3.6939300930076686e+00	+5.7895934924017834e-03
3.3400000000000000e+02	+3.6920897376234274e+00	+5.8418962125438905e-03
3.3500000000000000e+02	+3.6902438718867732e+00	+5.8945128732494894e-03
3.3600000000000000e+02	+3.6883924958691030e+00	+5.9474444121953235e-03
3.3700000000000000e+02	+3.6865356096420263e+00	+6.0006917670378489e-03
3.3800000000000000e+02	+3.6846732132773643e+00	+6.0542558754131661e-03
3.3900000000000000e+02	+3.6828053068471518e+00	+6.1081376749369592e-03
3.4000000000000000e+02	+3.6809318904236363e+00	+6.1623381032044379e-03
3.4100000000000000e+02	+3.6790529640792777e+00	+6.2168580977902763e-03
3.4200000000000000e+02	+3.6771685278867481e+00	+6.2716985962485627e-03
3.4300000000000000e+02	+3.6752785819189326e+00	+6.3268605361127168e-03
3.4400000000000000e+02	+3.6733831262489294e+00	+6.3823448548954486e-03
3.4500000000000000e+02	+3.6714821609500485e+00	+6.4381524900886909e-03
3.4600000000000000e+02	+3.6695756860958131e+00	+6.4942843791635438e-03
3.4700000000000000e+02	+3.6676637017599583e+00	+6.5507414595702123e-03
3.4800000000000000e+02	+3.6657462080164320e+00	+6.6075246687379392e-03
3.4900000000000000e+02	+3.6638232049393959e+00	+6.6646349440749493e-03
3.5000000000000000e+02	+3.6618946926032230e+00	+6.7220732229683966e-03
3.5100000000000000e+02	+3.6599606710824988e+00	+6.7798404427842941e-03
3.5200000000000000e+02	+3.6580211404520222e+00	+6.8379375408674607e-03
