X	Hy	Ex	Ez

-3.9e-07	0.00019687	-0.00160152	0.000294413
-3.89e-07	0.000201174	-0.00163632	0.000299645
-3.88e-07	0.000205572	-0.00167187	0.000304965
-3.87e-07	0.000210066	-0.0017082	0.000310375
-3.86e-07	0.000214658	-0.00174532	0.000315876
-3.85e-07	0.00021935	-0.00178325	0.000321469
-3.84e-07	0.000224145	-0.001822	0.000327156
-3.83e-07	0.000229045	-0.00186158	0.000332938
-3.82e-07	0.000234052	-0.00190203	0.000338816
-3.81e-07	0.000239168	-0.00194336	0.000344793
-3.8e-07	0.000244396	-0.00198559	0.000350869
-3.79e-07	0.000249738	-0.00202873	0.000357046
-3.78e-07	0.000255197	-0.00207281	0.000363326
-3.77e-07	0.000260775	-0.00211784	0.000369709
-3.76e-07	0.000266475	-0.00216386	0.000376199
-3.75e-07	0.000272299	-0.00221087	0.000382795
-3.74e-07	0.000278251	-0.0022589	0.000389501
-3.73e-07	0.000284333	-0.00230798	0.000396316
-3.72e-07	0.000290547	-0.00235812	0.000403244
-3.71e-07	0.000296898	-0.00240935	0.000410286
-3.7e-07	0.000303387	-0.0024617	0.000417442
-3.69e-07	0.000310017	-0.00251518	0.000424716
-3.68e-07	0.000316793	-0.00256982	0.000432109
-3.67e-07	0.000323716	-0.00262564	0.000439622
-3.66e-07	0.000330791	-0.00268268	0.000447257
-3.65e-07	0.00033802	-0.00274096	0.000455016
-3.64e-07	0.000345408	-0.0028005	0.000462901
-3.63e-07	0.000352956	-0.00286134	0.000470913
-3.62e-07	0.00036067	-0.00292349	0.000479055
-3.61e-07	0.000368551	-0.002987	0.000487327
-3.6e-07	0.000376605	-0.00305188	0.000495733
-3.59e-07	0.000384835	-0.00311818	0.000504274
-3.58e-07	0.000393245	-0.00318591	0.000512951
-3.57e-07	0.000401838	-0.00325511	0.000521767
-3.56e-07	0.000410619	-0.00332582	0.000530723
-3.55e-07	0.000419592	-0.00339806	0.000539822
-3.54e-07	0.000428761	-0.00347186	0.000549066
-3.53e-07	0.00043813	-0.00354727	0.000558456
-3.52e-07	0.000447703	-0.00362432	0.000567994
-3.51e-07	0.000457486	-0.00370304	0.000577683
-3.5e-07	0.000467482	-0.00378347	0.000587524
-3.49e-07	0.000477696	-0.00386564	0.00059752
-3.48e-07	0.000488134	-0.0039496	0.000607672
-3.47e-07	0.000498799	-0.00403538	0.000617983
-3.46e-07	0.000509698	-0.00412302	0.000628454
-3.45e-07	0.000520834	-0.00421256	0.000639089
-3.44e-07	0.000532214	-0.00430405	0.000649888
-3.43e-07	0.000543842	-0.00439752	0.000660855
-3.42e-07	0.000555724	-0.00449302	0.000671991
-3.41e-07	0.000567865	-0.0045906	0.000683298
-3.4e-07	0.000580271	-0.00469029	0.000694778
-3.39e-07	0.000592949	-0.00479214	0.000706435
-3.38e-07	0.000605903	-0.00489621	0.00071827
-3.37e-07	0.00061914	-0.00500253	0.000730284
-3.36e-07	0.000632666	-0.00511117	0.000742482
-3.35e-07	0.000646487	-0.00522216	0.000754864
-3.34e-07	0.00066061	-0.00533555	0.000767432
-3.33e-07	0.000675041	-0.00545141	0.000780191
-3.32e-07	0.000689788	-0.00556979	0.00079314
-3.31e-07	0.000704856	-0.00569073	0.000806284
-3.3e-07	0.000720253	-0.0058143	0.000819623
-3.29e-07	0.000735987	-0.00594055	0.000833161
-3.28e-07	0.000752064	-0.00606953	0.0008469
-3.27e-07	0.000768492	-0.00620132	0.000860841
-3.26e-07	0.000785278	-0.00633597	0.000874988
-3.25e-07	0.000802431	-0.00647354	0.000889343
-3.24e-07	0.000819959	-0.00661409	0.000903907
-3.23e-07	0.000837869	-0.00675769	0.000918684
-3.22e-07	0.00085617	-0.00690441	0.000933676
-3.21e-07	0.00087487	-0.00705432	0.000948884
-3.2e-07	0.000893979	-0.00720747	0.000964312
-3.19e-07	0.000913505	-0.00736395	0.000979962
-3.18e-07	0.000933457	-0.00752383	0.000995836
-3.17e-07	0.000953845	-0.00768717	0.00101194
-3.16e-07	0.000974677	-0.00785405	0.00102826
-3.15e-07	0.000995965	-0.00802456	0.00104482
-3.14e-07	0.00101772	-0.00819877	0.00106162
-3.13e-07	0.00103994	-0.00837676	0.00107865
-3.12e-07	0.00106266	-0.0085586	0.00109591
-3.11e-07	0.00108586	-0.0087444	0.00111342
-3.1e-07	0.00110958	-0.00893422	0.00113117
-3.09e-07	0.00113381	-0.00912816	0.00114916
-3.08e-07	0.00115857	-0.00932631	0.0011674
-3.07e-07	0.00118387	-0.00952876	0.00118589
-3.06e-07	0.00120972	-0.0097356	0.00120463
-3.05e-07	0.00123614	-0.00994693	0.00122363
-3.04e-07	0.00126314	-0.0101628	0.00124288
-3.03e-07	0.00129072	-0.0103834	0.00126239
-3.02e-07	0.0013189	-0.0106088	0.00128215
-3.01e-07	0.0013477	-0.0108391	0.00130218
-3e-07	0.00137713	-0.0110744	0.00132248
-2.99e-07	0.0014072	-0.0113147	0.00134304
-2.98e-07	0.00143793	-0.0115603	0.00136387
-2.97e-07	0.00146933	-0.0118112	0.00138496
-2.96e-07	0.00150141	-0.0120676	0.00140633
-2.95e-07	0.00153419	-0.0123295	0.00142798
-2.94e-07	0.00156769	-0.0125971	0.00144989
-2.93e-07	0.00160192	-0.0128705	0.00147209
-2.92e-07	0.0016369	-0.0131498	0.00149456
-2.91e-07	0.00167264	-0.0134352	0.00151732
-2.9e-07	0.00170916	-0.0137268	0.00154035
-2.89e-07	0.00174647	-0.0140247	0.00156367
-2.88e-07	0.0017846	-0.014329	0.00158728
-2.87e-07	0.00182357	-0.01464	0.00161117
-2.86e-07	0.00186338	-0.0149577	0.00163534
-2.85e-07	0.00190406	-0.0152823	0.00165981
-2.84e-07	0.00194563	-0.0156139	0.00168457
-2.83e-07	0.0019881	-0.0159528	0.00170961
-2.82e-07	0.00203151	-0.0162989	0.00173495
-2.81e-07	0.00207586	-0.0166526	0.00176058
-2.8e-07	0.00212117	-0.017014	0.0017865
-2.79e-07	0.00216748	-0.0173832	0.00181272
-2.78e-07	0.0022148	-0.0177604	0.00183923
-2.77e-07	0.00226314	-0.0181457	0.00186603
-2.76e-07	0.00231255	-0.0185395	0.00189313
-2.75e-07	0.00236303	-0.0189417	0.00192053
-2.74e-07	0.00241461	-0.0193527	0.00194822
-2.73e-07	0.00246732	-0.0197726	0.0019762
-2.72e-07	0.00252117	-0.0202017	0.00200448
-2.71e-07	0.00257621	-0.02064	0.00203305
