w	Re(eps)	Im(eps)
1.0000000000000000e+00	-2.0254500155759030e+02	+1.2612717289656320e+01
1.0100000000000000e+00	-1.9847029693957251e+02	+1.2242666747836397e+01
1.0200000000000000e+00	-1.9451428289183625e+02	+1.1886943613352724e+01
1.0300000000000000e+00	-1.9067239931791300e+02	+1.1544861532960088e+01
1.0400000000000000e+00	-1.8694030278842655e+02	+1.1215773212264873e+01
1.0500000000000000e+00	-1.8331385431762286e+02	+1.0899067848320247e+01
1.0600000000000001e+00	-1.7978910793604652e+02	+1.0594168753190079e+01
1.0700000000000001e+00	-1.7636230000071134e+02	+1.0300531152657225e+01
1.0800000000000001e+00	-1.7302983918892531e+02	+1.0017640145694610e+01
1.0900000000000001e+00	-1.6978829712630676e+02	+9.7450088116172360e+00
1.1000000000000001e+00	-1.6663439960351397e+02	+9.4821764530046799e+00
1.1100000000000001e+00	-1.6356501833984393e+02	+9.2287069635411321e+00
1.1200000000000001e+00	-1.6057716325516782e+02	+8.9841873108748249e+00
1.1299999999999999e+00	-1.5766797521469684e+02	+8.7482261254622475e+00
1.1399999999999999e+00	-1.5483471921383367e+02	+8.5204523871437612e+00
1.1499999999999999e+00	-1.5207477797289337e+02	+8.3005142019049600e+00
1.1599999999999999e+00	-1.4938564591378770e+02	+8.0880776619196464e+00
1.1699999999999999e+00	-1.4676492349288566e+02	+7.8828257825522678e+00
1.1799999999999999e+00	-1.4421031186620286e+02	+7.6844575105262845e+00
1.1899999999999999e+00	-1.4171960786485170e+02	+7.4926867979452965e+00
1.2000000000000000e+00	-1.3929069926031929e+02	+7.3072417372907204e+00
1.2100000000000000e+00	-1.3692156030063828e+02	+7.1278637529174294e+00
1.2200000000000000e+00	-1.3461024749989690e+02	+6.9543068449313390e+00
1.2300000000000000e+00	-1.3235489566480157e+02	+6.7863368816631358e+00
1.2400000000000000e+00	-1.3015371414317320e+02	+6.6237309372538524e+00
1.2500000000000000e+00	-1.2800498328033436e+02	+6.4662766711433601e+00
1.2600000000000000e+00	-1.2590705107033475e+02	+6.3137717465042176e+00
1.2700000000000000e+00	-1.2385832998987615e+02	+6.1660232848935150e+00
1.2800000000000000e+00	-1.2185729400364318e+02	+6.0228473546057808e+00
1.2900000000000000e+00	-1.1990247573052278e+02	+5.8840684904027905e+00
1.3000000000000000e+00	-1.1799246376091739e+02	+5.7495192424728545e+00
