Modal Results

k0 	4.053667940115862e+06
R 	2.684000000000000e-01
S 	1.536800000000000e+00
Number of roots 	119

Root	Re(z)	Im(z)	Re(Neff)	Im(Neff)	Absorp(1/cm)	Bound
1	-3.387952000914681e+00	-1.794411716791406e+00	+1.783859293982748e+00	-7.653509455707995e+00	-6.204957181995420e+05	+0
2	-1.451628750774714e+00	-3.141592653589793e+00	+1.704451623820094e+00	-9.043508394743341e-17	-7.331876009187950e-12	+0
3	-1.451628750774714e+00	+3.141592653589793e+00	+1.704451623820094e+00	+9.043508394743338e-17	+7.331876009187947e-12	+0
4	+6.972120888279821e-01	+2.080664507555396e+00	+1.201242276589062e+00	-1.423725690569260e+00	-1.154262237475985e+05	+0
5	+4.039220833759353e-01	-4.940656458412465e-324	+1.952430072684397e+00	-4.940656458412465e-324	-4.005538410528738e-319	+1
6	+6.972120888279821e-01	-2.080664507555396e+00	+1.201242276589062e+00	+1.423725690569260e+00	+1.154262237475985e+05	+0
7	-3.113798836602541e+00	-1.592378349237753e+00	+1.331846159108311e-01	-5.910933070465249e+00	-4.792191976783119e+05	+0
8	-1.220533621015440e+00	-1.436170697355858e+00	+8.183956452494349e-01	+1.203154450453520e-01	+9.754377245622307e+03	+0
9	-1.590712788645606e+00	-1.161932181758882e+00	+8.940605260334159e-01	+6.908798369679383e-01	+5.601194891178811e+04	+0
10	-3.937394315885469e+00	-1.563969977737289e+00	+9.434598197016905e-02	+1.370859642415047e+01	+1.111401956571315e+06	+0
11	-3.640508153068481e+00	-1.573788851563546e+00	+3.083762402509639e-02	-1.015363672970804e+01	-8.231894337360067e+05	+0
12	-3.937394315885469e+00	+1.563969977737289e+00	+9.434598197016905e-02	-1.370859642415047e+01	-1.111401956571315e+06	+0
13	-3.640508153068481e+00	+1.573788851563546e+00	+3.083762402509639e-02	+1.015363672970804e+01	+8.231894337360067e+05	+0
14	-3.387952000914681e+00	+1.794411716791406e+00	+1.783859293982748e+00	+7.653509455707995e+00	+6.204957181995420e+05	+0
15	-3.113798836602541e+00	+1.592378349237753e+00	+1.331846159108311e-01	+5.910933070465251e+00	+4.792191976783121e+05	+0
16	-1.590712788645605e+00	+1.161932181758882e+00	+8.940605260334168e-01	-6.908798369679376e-01	-5.601194891178805e+04	+0
17	-1.220533621015440e+00	+1.436170697355858e+00	+8.183956452494349e-01	-1.203154450453520e-01	-9.754377245622307e+03	+0
18	+1.794389618273811e+00	+1.675520671755145e+00	+6.425830113610818e-01	-5.854658412042200e+00	-4.746568221045022e+05	+0
19	+2.078450978930943e+00	+1.799364679677807e+00	+1.832984146621059e+00	-7.690179518223619e+00	-6.234686833351747e+05	+0
20	+2.329698218267866e+00	+1.613855531870990e+00	+4.455400805323979e-01	-1.019036253828877e+01	-8.261669183923776e+05	+0
21	+2.622682750792736e+00	+1.592704248369943e+00	+3.029341457835077e-01	-1.371343972142068e+01	-1.111794618948688e+06	+0
22	+1.794389618273811e+00	-1.675520671755145e+00	+6.425830113610816e-01	+5.854658412042199e+00	+4.746568221045022e+05	+0
23	+2.078450978930943e+00	-1.799364679677807e+00	+1.832984146621059e+00	+7.690179518223619e+00	+6.234686833351747e+05	+0
24	+2.329698218267866e+00	-1.613855531870990e+00	+4.455400805323979e-01	+1.019036253828877e+01	+8.261669183923776e+05	+0
